intersect,genes
OFC,ENSG00000204923
OFC,ENSG00000170632
OFC,ENSG00000101040
OFC,ENSG00000143742
OFC,ENSG00000166444
OFC,ENSG00000131467
OFC,ENSG00000135070
OFC,ENSG00000136238
OFC,ENSG00000080802
OFC,ENSG00000166971
OFC,ENSG00000204370
OFC,ENSG00000090905
OFC,ENSG00000213420
OFC,ENSG00000136573
OFC,ENSG00000233163
OFC,ENSG00000224578
OFC,ENSG00000128059
OFC,ENSG00000180264
OFC,ENSG00000183161
OFC,ENSG00000055070
OFC,ENSG00000106344
OFC,ENSG00000178449
OFC,ENSG00000150625
OFC,ENSG00000203618
OFC,ENSG00000181873
OFC,ENSG00000112031
OFC,ENSG00000164967
OFC,ENSG00000242221
OFC,ENSG00000147138
OFC,ENSG00000198744
OFC,ENSG00000120159
OFC,ENSG00000279800
OFC,ENSG00000148337
OFC,ENSG00000177576
OFC,ENSG00000203950
OFC,ENSG00000162231
OFC,ENSG00000253251
OFC,ENSG00000197472
OFC,ENSG00000135363
OFC,ENSG00000160392
OFC,ENSG00000143569
OFC,ENSG00000198019
OFC,ENSG00000164393
OFC,ENSG00000100804
OFC,ENSG00000143570
OFC,ENSG00000102390
OFC,ENSG00000204060
OFC,ENSG00000117448
OFC,ENSG00000276291
OFC,ENSG00000157657
OFC,ENSG00000142408
OFC,ENSG00000141456
OFC,ENSG00000173041
OFC,ENSG00000140995
OFC,ENSG00000149932
OFC,ENSG00000116906
OFC,ENSG00000102524
OFC,ENSG00000226632
OFC,ENSG00000197982
OFC,ENSG00000136938
OFC,ENSG00000105698
OFC,ENSG00000173559
OFC,ENSG00000170315
OFC,ENSG00000132388
OFC,ENSG00000142751
OFC,ENSG00000180953
OFC,ENSG00000143450
OFC,ENSG00000247627
OFC,ENSG00000163382
OFC,ENSG00000240435
OFC,ENSG00000188186
OFC,ENSG00000151665
OFC,ENSG00000213920
OFC,ENSG00000063177
OFC,ENSG00000229014
OFC,ENSG00000173451
OFC,ENSG00000175467
OFC,ENSG00000205544
OFC,ENSG00000070366
OFC,ENSG00000185864
OFC,ENSG00000275023
OFC,ENSG00000164096
OFC,ENSG00000123552
OFC,ENSG00000127616
OFC,ENSG00000104154
OFC,ENSG00000142039
OFC,ENSG00000152684
OFC,ENSG00000149084
OFC,ENSG00000156304
OFC,ENSG00000153443
OFC,ENSG00000180228
OFC,ENSG00000081692
OFC,ENSG00000153561
OFC,ENSG00000184575
OFC,ENSG00000186665
OFC,ENSG00000235619
OFC,ENSG00000176871
OFC,ENSG00000146776
OFC,ENSG00000278505
OFC,ENSG00000168806
OFC,ENSG00000241890
OFC,ENSG00000166575
OFC,ENSG00000235655
OFC,ENSG00000066027
OFC,ENSG00000103266
OFC,ENSG00000134884
OFC,ENSG00000188878
OFC,ENSG00000217128
OFC,ENSG00000137411
OFC,ENSG00000163016
OFC,ENSG00000154358
OFC,ENSG00000188343
OFC,ENSG00000117153
OFC,ENSG00000104883
OFC,ENSG00000112561
OFC,ENSG00000132912
OFC,ENSG00000188089
OFC,ENSG00000182185
OFC,ENSG00000132196
OFC,ENSG00000174292
OFC,ENSG00000165322
OFC,ENSG00000163378
OFC,ENSG00000159247
OFC,ENSG00000185803
OFC,ENSG00000107372
OFC,ENSG00000140835
OFC,ENSG00000197520
OFC,ENSG00000134463
OFC,ENSG00000142089
OFC,ENSG00000197283
OFC,ENSG00000197734
OFC,ENSG00000187815
OFC,ENSG00000146425
OFC,ENSG00000140009
OFC,ENSG00000110660
OFC,ENSG00000133706
OFC,ENSG00000111358
OFC,ENSG00000147364
OFC,ENSG00000153975
OFC,ENSG00000100321
OFC,ENSG00000197415
OFC,ENSG00000134602
OFC,ENSG00000100354
OFC,ENSG00000127022
OFC,ENSG00000180008
OFC,ENSG00000100650
OFC,ENSG00000136379
OFC,ENSG00000102245
OFC,ENSG00000104687
OFC,ENSG00000148303
OFC,ENSG00000231584
OFC,ENSG00000178385
OFC,ENSG00000108561
OFC,ENSG00000184182
OFC,ENSG00000277149
OFC,ENSG00000154582
OFC,ENSG00000101473
OFC,ENSG00000142541
OFC,ENSG00000118096
OFC,ENSG00000158296
OFC,ENSG00000122642
OFC,ENSG00000158201
OFC,ENSG00000179632
OFC,ENSG00000243943
OFC,ENSG00000172456
OFC,ENSG00000180776
OFC,ENSG00000106615
OFC,ENSG00000155980
OFC,ENSG00000104904
OFC,ENSG00000116288
OFC,ENSG00000277053
OFC,ENSG00000168291
OFC,ENSG00000104133
OFC,ENSG00000198855
OFC,ENSG00000049540
OFC,ENSG00000099203
OFC,ENSG00000111011
OFC,ENSG00000153253
OFC,ENSG00000149972
OFC,ENSG00000117118
OFC,ENSG00000109846
OFC,ENSG00000173812
OFC,ENSG00000111057
OFC,ENSG00000136943
OFC,ENSG00000073921
OFC,ENSG00000100280
OFC,ENSG00000164535
OFC,ENSG00000102316
OFC,ENSG00000182552
OFC,ENSG00000135404
OFC,ENSG00000177628
OFC,ENSG00000229415
OFC,ENSG00000112701
OFC,ENSG00000140990
OFC,ENSG00000275111
OFC,ENSG00000163001
OFC,ENSG00000170142
OFC,ENSG00000106028
OFC,ENSG00000154114
OFC,ENSG00000225663
OFC,ENSG00000239713
OFC,ENSG00000140350
OFC,ENSG00000197894
OFC,ENSG00000197043
OFC,ENSG00000092841
OFC,ENSG00000243989
OFC,ENSG00000139168
OFC,ENSG00000269858
OFC,ENSG00000147724
OFC,ENSG00000091138
OFC,ENSG00000127445
OFC,ENSG00000146067
OFC,ENSG00000148110
OFC,ENSG00000008988
OFC,ENSG00000167302
OFC,ENSG00000161970
OFC,ENSG00000205707
OFC,ENSG00000180198
OFC,ENSG00000054523
OFC,ENSG00000065154
OFC,ENSG00000104408
OFC,ENSG00000164970
OFC,ENSG00000125124
OFC,ENSG00000204962
OFC,ENSG00000171680
OFC,ENSG00000128591
OFC,ENSG00000180747
OFC,ENSG00000110321
OFC,ENSG00000197579
OFC,ENSG00000185917
OFC,ENSG00000168522
OFC,ENSG00000196678
OFC,ENSG00000241468
OFC,ENSG00000171988
OFC,ENSG00000108599
OFC,ENSG00000242485
OFC,ENSG00000197265
OFC,ENSG00000139531
OFC,ENSG00000143575
OFC,ENSG00000155111
OFC,ENSG00000148950
OFC,ENSG00000184343
OFC,ENSG00000159461
OFC,ENSG00000205423
OFC,ENSG00000135049
OFC,ENSG00000129946
OFC,ENSG00000138459
OFC,ENSG00000219200
OFC,ENSG00000111832
OFC,ENSG00000183576
OFC,ENSG00000115827
OFC,ENSG00000101843
OFC,ENSG00000158428
OFC,ENSG00000105866
OFC,ENSG00000198561
OFC,ENSG00000179593
OFC,ENSG00000125818
OFC,ENSG00000145888
OFC,ENSG00000173402
OFC,ENSG00000197050
OFC,ENSG00000106302
OFC,ENSG00000131778
OFC,ENSG00000127184
OFC,ENSG00000230359
OFC,ENSG00000242247
OFC,ENSG00000196166
OFC,ENSG00000171551
OFC,ENSG00000100380
OFC,ENSG00000127838
OFC,ENSG00000005700
OFC,ENSG00000165269
OFC,ENSG00000138760
OFC,ENSG00000198088
OFC,ENSG00000164265
OFC,ENSG00000164978
OFC,ENSG00000118473
OFC,ENSG00000113048
OFC,ENSG00000104679
OFC,ENSG00000115310
OFC,ENSG00000122591
OFC,ENSG00000213246
OFC,ENSG00000171992
OFC,ENSG00000119547
OFC,ENSG00000165376
OFC,ENSG00000148481
OFC,ENSG00000113013
OFC,ENSG00000089876
OFC,ENSG00000111254
OFC,ENSG00000068796
OFC,ENSG00000150756
OFC,ENSG00000105248
OFC,ENSG00000214253
OFC,ENSG00000005238
OFC,ENSG00000086200
OFC,ENSG00000145506
OFC,ENSG00000036565
OFC,ENSG00000074201
OFC,ENSG00000101940
OFC,ENSG00000167962
OFC,ENSG00000213782
OFC,ENSG00000143420
OFC,ENSG00000171503
OFC,ENSG00000146729
OFC,ENSG00000143774
OFC,ENSG00000147669
OFC,ENSG00000151952
OFC,ENSG00000088367
OFC,ENSG00000095139
OFC,ENSG00000182768
OFC,ENSG00000063244
OFC,ENSG00000167740
OFC,ENSG00000163512
OFC,ENSG00000012061
OFC,ENSG00000171033
OFC,ENSG00000134313
OFC,ENSG00000166979
OFC,ENSG00000001617
OFC,ENSG00000030110
OFC,ENSG00000261740
OFC,ENSG00000166845
OFC,ENSG00000119147
OFC,ENSG00000227835
OFC,ENSG00000091972
OFC,ENSG00000164919
OFC,ENSG00000144655
OFC,ENSG00000137133
OFC,ENSG00000100209
OFC,ENSG00000269335
OFC,ENSG00000161677
OFC,ENSG00000128052
OFC,ENSG00000171444
OFC,ENSG00000119227
OFC,ENSG00000184924
OFC,ENSG00000182872
OFC,ENSG00000107819
OFC,ENSG00000215347
OFC,ENSG00000139656
OFC,ENSG00000118707
OFC,ENSG00000153802
OFC,ENSG00000162191
OFC,ENSG00000164405
OFC,ENSG00000095397
OFC,ENSG00000126215
OFC,ENSG00000205189
OFC,ENSG00000100601
OFC,ENSG00000215217
OFC,ENSG00000103326
OFC,ENSG00000105479
OFC,ENSG00000248698
OFC,ENSG00000125841
OFC,ENSG00000100300
OFC,ENSG00000160685
Sub,ENSG00000155511
Sub,ENSG00000106069
Sub,ENSG00000053438
Sub,ENSG00000164099
Sub,ENSG00000183665
Sub,ENSG00000220804
Sub,ENSG00000078814
Sub,ENSG00000117069
Sub,ENSG00000215388
Sub,ENSG00000185052
Sub,ENSG00000184307
Sub,ENSG00000147041
Sub,ENSG00000119401
Sub,ENSG00000146386
Sub,ENSG00000119698
Sub,ENSG00000263142
Sub,ENSG00000197859
Sub,ENSG00000134291
Sub,ENSG00000204267
Sub,ENSG00000105518
Sub,ENSG00000140623
Sub,ENSG00000144668
Sub,ENSG00000198185
Sub,ENSG00000178163
Sub,ENSG00000175182
Sub,ENSG00000147400
Sub,ENSG00000163491
Sub,ENSG00000182481
Sub,ENSG00000162437
Sub,ENSG00000109689
Sub,ENSG00000089847
Sub,ENSG00000126217
Sub,ENSG00000172782
Sub,ENSG00000213996
Sub,ENSG00000077264
Sub,ENSG00000117477
Sub,ENSG00000181467
Sub,ENSG00000204498
Sub,ENSG00000140284
Sub,ENSG00000219294
Sub,ENSG00000271207
Sub,ENSG00000116885
Sub,ENSG00000011566
Sub,ENSG00000051596
Sub,ENSG00000157211
Sub,ENSG00000109466
Sub,ENSG00000151490
Sub,ENSG00000213585
Sub,ENSG00000169118
Sub,ENSG00000197798
Sub,ENSG00000169282
Sub,ENSG00000107937
Sub,ENSG00000250982
Sub,ENSG00000133107
Sub,ENSG00000163630
Sub,ENSG00000116191
Sub,ENSG00000161021
Sub,ENSG00000270326
Sub,ENSG00000163468
Sub,ENSG00000213816
Sub,ENSG00000162066
Sub,ENSG00000047249
Sub,ENSG00000127329
Sub,ENSG00000171759
Sub,ENSG00000156140
Sub,ENSG00000124486
Sub,ENSG00000229184
Sub,ENSG00000174684
Sub,ENSG00000147650
Sub,ENSG00000154654
Sub,ENSG00000156261
Sub,ENSG00000242372
Sub,ENSG00000277883
Sub,ENSG00000259330
Sub,ENSG00000089094
Sub,ENSG00000262583
Sub,ENSG00000284283
Sub,ENSG00000182168
Sub,ENSG00000183185
Sub,ENSG00000170956
Sub,ENSG00000130522
Sub,ENSG00000254430
Sub,ENSG00000268598
