intersect,genes
OFC_male,ENSG00000248698
OFC_male,ENSG00000125841
OFC_male,ENSG00000100300
OFC_male,ENSG00000128564
OFC_male,ENSG00000160685
Sub_male,ENSG00000155511
Sub_male,ENSG00000106069
Sub_male,ENSG00000053438
Sub_male,ENSG00000164099
Sub_male,ENSG00000185149
Sub_male,ENSG00000183665
Sub_male,ENSG00000220804
Sub_male,ENSG00000078814
Sub_male,ENSG00000117069
Sub_male,ENSG00000215388
Sub_male,ENSG00000185052
Sub_male,ENSG00000184307
Sub_male,ENSG00000147041
Sub_male,ENSG00000119401
Sub_male,ENSG00000146386
Sub_male,ENSG00000119698
Sub_male,ENSG00000163586
Sub_male,ENSG00000263142
Sub_male,ENSG00000197859
Sub_male,ENSG00000134291
Sub_male,ENSG00000204267
Sub_male,ENSG00000105518
Sub_male,ENSG00000140623
Sub_male,ENSG00000144668
Sub_male,ENSG00000198185
Sub_male,ENSG00000178163
Sub_male,ENSG00000175182
Sub_male,ENSG00000147400
Sub_male,ENSG00000163491
Sub_male,ENSG00000159685
Sub_male,ENSG00000182481
Sub_male,ENSG00000162437
Sub_male,ENSG00000109689
Sub_male,ENSG00000089847
Sub_male,ENSG00000126217
Sub_male,ENSG00000172782
Sub_male,ENSG00000213996
Sub_male,ENSG00000077264
Sub_male,ENSG00000117477
Sub_male,ENSG00000181467
Sub_male,ENSG00000204498
Sub_male,ENSG00000140284
Sub_male,ENSG00000219294
Sub_male,ENSG00000271207
Sub_male,ENSG00000116885
Sub_male,ENSG00000011566
Sub_male,ENSG00000145050
Sub_male,ENSG00000051596
Sub_male,ENSG00000157211
Sub_male,ENSG00000109466
Sub_male,ENSG00000151490
Sub_male,ENSG00000213585
Sub_male,ENSG00000169118
Sub_male,ENSG00000197798
Sub_male,ENSG00000169282
Sub_male,ENSG00000107937
Sub_male,ENSG00000250982
Sub_male,ENSG00000133107
Sub_male,ENSG00000163630
Sub_male,ENSG00000116191
Sub_male,ENSG00000161021
Sub_male,ENSG00000270326
Sub_male,ENSG00000163468
Sub_male,ENSG00000213816
Sub_male,ENSG00000162066
Sub_male,ENSG00000047249
Sub_male,ENSG00000127329
Sub_male,ENSG00000171759
Sub_male,ENSG00000156140
Sub_male,ENSG00000089169
Sub_male,ENSG00000124486
Sub_male,ENSG00000229184
Sub_male,ENSG00000174684
Sub_male,ENSG00000114480
Sub_male,ENSG00000147650
Sub_male,ENSG00000154654
Sub_male,ENSG00000156261
Sub_male,ENSG00000242372
Sub_male,ENSG00000277883
Sub_male,ENSG00000259330
Sub_male,ENSG00000089094
Sub_male,ENSG00000090097
Sub_male,ENSG00000145526
Sub_male,ENSG00000141013
Sub_male,ENSG00000099331
Sub_male,ENSG00000164329
Sub_male,ENSG00000221882
Sub_male,ENSG00000081189
Sub_male,ENSG00000157330
Sub_male,ENSG00000143156
Sub_male,ENSG00000120500
Sub_male,ENSG00000009413
Sub_male,ENSG00000057294
Sub_male,ENSG00000108018
Sub_male,ENSG00000186204
Sub_male,ENSG00000130511
Sub_male,ENSG00000101294
Sub_male,ENSG00000133115
Sub_male,ENSG00000196312
Sub_male,ENSG00000115649
Sub_male,ENSG00000137075
Sub_male,ENSG00000140481
Sub_male,ENSG00000130940
Sub_male,ENSG00000137274
Sub_male,ENSG00000106066
Sub_male,ENSG00000171295
Sub_male,ENSG00000167173
Sub_male,ENSG00000105829
Sub_male,ENSG00000205356
Sub_male,ENSG00000150051
Sub_male,ENSG00000184887
Sub_male,ENSG00000177627
Sub_male,ENSG00000221986
Sub_male,ENSG00000227152
Sub_male,ENSG00000205220
Sub_male,ENSG00000165480
Sub_male,ENSG00000095970
Sub_male,ENSG00000170703
aINS_male,ENSG00000163872
aINS_male,ENSG00000203661
aINS_male,ENSG00000049449
aINS_male,ENSG00000185834
aINS_male,ENSG00000176956
aINS_male,ENSG00000186350
aINS_male,ENSG00000151718
aINS_male,ENSG00000078269
aINS_male,ENSG00000008382
aINS_male,ENSG00000116171
aINS_male,ENSG00000157557
aINS_male,ENSG00000099364
aINS_male,ENSG00000135905
aINS_male,ENSG00000136861
aINS_male,ENSG00000173327
aINS_male,ENSG00000136156
aINS_male,ENSG00000103024
aINS_male,ENSG00000114646
aINS_male,ENSG00000154330
aINS_male,ENSG00000102547
Cg25_male,ENSG00000241644
Cg25_male,ENSG00000113460
Cg25_male,ENSG00000285607
Cg25_male,ENSG00000104998
Cg25_male,ENSG00000237649
Cg25_male,ENSG00000213569
Cg25_male,ENSG00000171792
Cg25_male,ENSG00000123815
Cg25_male,ENSG00000008323
Cg25_male,ENSG00000105143
Cg25_male,ENSG00000184524
Cg25_male,ENSG00000144591
Cg25_male,ENSG00000197380
Cg25_male,ENSG00000184897
Cg25_male,ENSG00000187398
Cg25_male,ENSG00000174197
Cg25_male,ENSG00000123329
Cg25_male,ENSG00000131469
Cg25_male,ENSG00000130224
Cg25_male,ENSG00000144278
Cg25_male,ENSG00000135315
Cg25_male,ENSG00000115457
Cg25_male,ENSG00000197748
Cg25_male,ENSG00000128298
Cg25_male,ENSG00000172361
Cg25_male,ENSG00000230097
Cg25_male,ENSG00000219507
Cg25_male,ENSG00000082805
Cg25_male,ENSG00000180155
Cg25_male,ENSG00000118514
Cg25_male,ENSG00000198794
Cg25_male,ENSG00000105877
Cg25_male,ENSG00000198618
Cg25_male,ENSG00000151332
Cg25_male,ENSG00000172262
Cg25_male,ENSG00000135205
Cg25_male,ENSG00000146416
Cg25_male,ENSG00000149925
Cg25_male,ENSG00000118412
Cg25_male,ENSG00000117013
Cg25_male,ENSG00000151422
Cg25_male,ENSG00000122691
Cg25_male,ENSG00000117425
Cg25_male,ENSG00000197121
Cg25_male,ENSG00000136770
Cg25_male,ENSG00000154473
Cg25_male,ENSG00000154479
Cg25_male,ENSG00000173641
Cg25_male,ENSG00000105223
Cg25_male,ENSG00000145779
Cg25_male,ENSG00000172889
Cg25_male,ENSG00000070423
Cg25_male,ENSG00000177398
Cg25_male,ENSG00000114391
Cg25_male,ENSG00000044459
Cg25_male,ENSG00000256310
Cg25_male,ENSG00000013725
Cg25_male,ENSG00000197483
Cg25_male,ENSG00000004059
Cg25_male,ENSG00000177200
Cg25_male,ENSG00000275048
Cg25_male,ENSG00000139675
Cg25_male,ENSG00000165288
Cg25_male,ENSG00000099917
Cg25_male,ENSG00000203780
Cg25_male,ENSG00000179855
Cg25_male,ENSG00000169221
Cg25_male,ENSG00000167103
Cg25_male,ENSG00000071553
Cg25_male,ENSG00000144674
Cg25_male,ENSG00000215867
Cg25_male,ENSG00000119397
Cg25_male,ENSG00000228300
Cg25_male,ENSG00000157873
Cg25_male,ENSG00000189127
Cg25_male,ENSG00000187481
Cg25_male,ENSG00000187416
Cg25_male,ENSG00000165113
Cg25_male,ENSG00000168539
Cg25_male,ENSG00000130479
Cg25_male,ENSG00000160813
Cg25_male,ENSG00000104886
Cg25_male,ENSG00000114204
Cg25_male,ENSG00000167861
Cg25_male,ENSG00000138777
Cg25_male,ENSG00000172794
Cg25_male,ENSG00000137942
Cg25_male,ENSG00000203855
Cg25_male,ENSG00000167733
Cg25_male,ENSG00000106683
Cg25_male,ENSG00000151466
Cg25_male,ENSG00000170374
Cg25_male,ENSG00000220563
Cg25_male,ENSG00000186577
Cg25_male,ENSG00000179611
Cg25_male,ENSG00000236565
Cg25_male,ENSG00000123643
Cg25_male,ENSG00000198887
Cg25_male,ENSG00000171944
Cg25_male,ENSG00000076662
Cg25_male,ENSG00000135090
Cg25_male,ENSG00000152208
Cg25_male,ENSG00000147604
Cg25_male,ENSG00000141854
Cg25_male,ENSG00000182247
Cg25_male,ENSG00000198856
Cg25_male,ENSG00000163939
Cg25_male,ENSG00000129534
Cg25_male,ENSG00000170222
Cg25_male,ENSG00000136536
Cg25_male,ENSG00000142669
Cg25_male,ENSG00000172969
Cg25_male,ENSG00000070961
Cg25_male,ENSG00000213047
Cg25_male,ENSG00000109971
Cg25_male,ENSG00000205609
Cg25_male,ENSG00000074317
Cg25_male,ENSG00000196498
Cg25_male,ENSG00000164483
Cg25_male,ENSG00000172809
Cg25_male,ENSG00000084207
Cg25_male,ENSG00000153207
Cg25_male,ENSG00000130204
Cg25_male,ENSG00000114062
Cg25_male,ENSG00000184863
Cg25_male,ENSG00000135686
Cg25_male,ENSG00000137207
Cg25_male,ENSG00000139620
Cg25_male,ENSG00000110324
Cg25_male,ENSG00000270011
Cg25_male,ENSG00000184432
Cg25_male,ENSG00000139200
Cg25_male,ENSG00000101199
Cg25_male,ENSG00000145826
Cg25_male,ENSG00000206140
Cg25_male,ENSG00000112078
Cg25_male,ENSG00000240038
Cg25_male,ENSG00000072756
Cg25_male,ENSG00000163596
Cg25_male,ENSG00000197746
Cg25_male,ENSG00000071082
Cg25_male,ENSG00000109475
Cg25_male,ENSG00000179889
Cg25_male,ENSG00000113456
Cg25_male,ENSG00000242173
Cg25_male,ENSG00000163126
Cg25_male,ENSG00000124172
Cg25_male,ENSG00000112062
Cg25_male,ENSG00000131725
