intersect,genes
OFC_female,ENSG00000123552
OFC_female,ENSG00000127616
OFC_female,ENSG00000104154
OFC_female,ENSG00000142039
OFC_female,ENSG00000152684
OFC_female,ENSG00000149084
OFC_female,ENSG00000156304
OFC_female,ENSG00000153443
OFC_female,ENSG00000180228
OFC_female,ENSG00000081692
OFC_female,ENSG00000153561
OFC_female,ENSG00000184575
OFC_female,ENSG00000186665
OFC_female,ENSG00000235619
OFC_female,ENSG00000176871
OFC_female,ENSG00000146776
OFC_female,ENSG00000278505
OFC_female,ENSG00000168806
OFC_female,ENSG00000241890
OFC_female,ENSG00000166575
OFC_female,ENSG00000235655
OFC_female,ENSG00000066027
OFC_female,ENSG00000103266
OFC_female,ENSG00000110075
OFC_female,ENSG00000100354
OFC_female,ENSG00000127022
OFC_female,ENSG00000180008
OFC_female,ENSG00000100650
OFC_female,ENSG00000134884
OFC_female,ENSG00000136379
OFC_female,ENSG00000102245
OFC_female,ENSG00000104687
OFC_female,ENSG00000148303
OFC_female,ENSG00000231584
OFC_female,ENSG00000178385
OFC_female,ENSG00000108561
OFC_female,ENSG00000184182
OFC_female,ENSG00000277149
OFC_female,ENSG00000154582
OFC_female,ENSG00000101473
OFC_female,ENSG00000142541
OFC_female,ENSG00000118096
OFC_female,ENSG00000158296
OFC_female,ENSG00000122642
OFC_female,ENSG00000158201
OFC_female,ENSG00000156097
OFC_female,ENSG00000179632
OFC_female,ENSG00000243943
OFC_female,ENSG00000172456
OFC_female,ENSG00000180776
OFC_female,ENSG00000197746
OFC_female,ENSG00000106615
OFC_female,ENSG00000155980
OFC_female,ENSG00000104904
OFC_female,ENSG00000116288
OFC_female,ENSG00000277053
OFC_female,ENSG00000168291
OFC_female,ENSG00000159147
OFC_female,ENSG00000104133
OFC_female,ENSG00000198855
OFC_female,ENSG00000049540
OFC_female,ENSG00000099203
OFC_female,ENSG00000111011
OFC_female,ENSG00000153253
OFC_female,ENSG00000149972
OFC_female,ENSG00000117118
OFC_female,ENSG00000109846
OFC_female,ENSG00000173812
OFC_female,ENSG00000111057
OFC_female,ENSG00000136943
OFC_female,ENSG00000073921
OFC_female,ENSG00000100280
OFC_female,ENSG00000145757
OFC_female,ENSG00000164535
OFC_female,ENSG00000102316
OFC_female,ENSG00000182552
OFC_female,ENSG00000135404
OFC_female,ENSG00000177628
OFC_female,ENSG00000229415
OFC_female,ENSG00000112701
OFC_female,ENSG00000140990
OFC_female,ENSG00000275111
OFC_female,ENSG00000163001
OFC_female,ENSG00000170142
OFC_female,ENSG00000106028
OFC_female,ENSG00000154114
OFC_female,ENSG00000225663
OFC_female,ENSG00000239713
OFC_female,ENSG00000140350
OFC_female,ENSG00000197894
OFC_female,ENSG00000197043
OFC_female,ENSG00000092841
OFC_female,ENSG00000243989
OFC_female,ENSG00000139168
OFC_female,ENSG00000269858
OFC_female,ENSG00000147724
OFC_female,ENSG00000091138
OFC_female,ENSG00000127445
OFC_female,ENSG00000146067
OFC_female,ENSG00000148110
OFC_female,ENSG00000008988
OFC_female,ENSG00000167302
OFC_female,ENSG00000161970
OFC_female,ENSG00000205707
OFC_female,ENSG00000180198
OFC_female,ENSG00000054523
OFC_female,ENSG00000065154
OFC_female,ENSG00000104408
OFC_female,ENSG00000164970
OFC_female,ENSG00000125124
OFC_female,ENSG00000204962
OFC_female,ENSG00000171680
OFC_female,ENSG00000128591
OFC_female,ENSG00000180747
OFC_female,ENSG00000110321
OFC_female,ENSG00000197579
OFC_female,ENSG00000185917
OFC_female,ENSG00000168522
OFC_female,ENSG00000196678
OFC_female,ENSG00000241468
OFC_female,ENSG00000171988
OFC_female,ENSG00000108599
OFC_female,ENSG00000242485
OFC_female,ENSG00000197265
OFC_female,ENSG00000139531
OFC_female,ENSG00000143575
OFC_female,ENSG00000155111
OFC_female,ENSG00000148950
OFC_female,ENSG00000184343
OFC_female,ENSG00000159461
OFC_female,ENSG00000205423
OFC_female,ENSG00000188089
OFC_female,ENSG00000135049
OFC_female,ENSG00000129946
OFC_female,ENSG00000138459
OFC_female,ENSG00000219200
OFC_female,ENSG00000111832
OFC_female,ENSG00000183576
OFC_female,ENSG00000115827
OFC_female,ENSG00000101843
OFC_female,ENSG00000158428
OFC_female,ENSG00000105866
