intersect,genes
male,ENSG00000121064
male,ENSG00000164294
male,ENSG00000105204
male,ENSG00000166558
male,ENSG00000125656
male,ENSG00000176383
male,ENSG00000106689
male,ENSG00000203734
male,ENSG00000153395
male,ENSG00000108219
male,ENSG00000196628
male,ENSG00000143093
male,ENSG00000159110
male,ENSG00000143740
male,ENSG00000156011
male,ENSG00000117632
male,ENSG00000277161
male,ENSG00000070501
male,ENSG00000136243
male,ENSG00000147457
male,ENSG00000107864
male,ENSG00000148832
male,ENSG00000122970
male,ENSG00000163565
male,ENSG00000105290
male,ENSG00000165195
male,ENSG00000071859
male,ENSG00000265366
male,ENSG00000178404
male,ENSG00000104976
male,ENSG00000238227
male,ENSG00000173598
male,ENSG00000102081
male,ENSG00000156990
male,ENSG00000029153
male,ENSG00000166793
male,ENSG00000188191
male,ENSG00000114867
male,ENSG00000163590
male,ENSG00000040487
male,ENSG00000105928
male,ENSG00000198246
male,ENSG00000113108
male,ENSG00000138172
male,ENSG00000073756
male,ENSG00000162065
male,ENSG00000198483
male,ENSG00000131061
male,ENSG00000198844
male,ENSG00000177943
male,ENSG00000106236
male,ENSG00000107902
male,ENSG00000143630
male,ENSG00000171189
male,ENSG00000160949
male,ENSG00000225151
male,ENSG00000124302
male,ENSG00000143801
male,ENSG00000101333
male,ENSG00000074416
male,ENSG00000171509
male,ENSG00000188878
male,ENSG00000217128
male,ENSG00000137411
male,ENSG00000163016
male,ENSG00000154358
male,ENSG00000188343
male,ENSG00000117153
male,ENSG00000104883
male,ENSG00000112561
male,ENSG00000132912
male,ENSG00000182185
male,ENSG00000132196
male,ENSG00000174292
male,ENSG00000165322
male,ENSG00000163378
male,ENSG00000159247
male,ENSG00000185803
male,ENSG00000107372
male,ENSG00000140835
male,ENSG00000197520
male,ENSG00000133105
male,ENSG00000134463
male,ENSG00000142089
male,ENSG00000197283
male,ENSG00000197734
male,ENSG00000187815
male,ENSG00000146425
male,ENSG00000140009
male,ENSG00000110660
male,ENSG00000133706
male,ENSG00000111358
male,ENSG00000166111
male,ENSG00000147364
male,ENSG00000153975
male,ENSG00000100321
male,ENSG00000197415
male,ENSG00000134602
male,ENSG00000165874
male,ENSG00000100138
male,ENSG00000141404
male,ENSG00000186815
male,ENSG00000105701
male,ENSG00000100142
male,ENSG00000150401
male,ENSG00000221914
male,ENSG00000152672
male,ENSG00000155660
male,ENSG00000168878
male,ENSG00000065618
male,ENSG00000172969
male,ENSG00000070961
male,ENSG00000213047
male,ENSG00000109971
male,ENSG00000205609
male,ENSG00000074317
male,ENSG00000196498
male,ENSG00000164483
male,ENSG00000172809
male,ENSG00000084207
male,ENSG00000153207
male,ENSG00000130204
male,ENSG00000114062
male,ENSG00000184863
male,ENSG00000135686
male,ENSG00000137207
male,ENSG00000139620
male,ENSG00000110324
male,ENSG00000270011
male,ENSG00000184432
male,ENSG00000139200
male,ENSG00000101199
male,ENSG00000145826
male,ENSG00000206140
male,ENSG00000112078
male,ENSG00000240038
male,ENSG00000072756
male,ENSG00000163596
male,ENSG00000071082
male,ENSG00000109475
male,ENSG00000179889
male,ENSG00000113456
male,ENSG00000242173
male,ENSG00000163126
male,ENSG00000124172
male,ENSG00000112062
male,ENSG00000131725
male,ENSG00000180817
male,ENSG00000151572
male,ENSG00000164929
male,ENSG00000187243
male,ENSG00000166478
male,ENSG00000196169
male,ENSG00000042317
male,ENSG00000176956
male,ENSG00000186350
male,ENSG00000151718
male,ENSG00000008382
male,ENSG00000116171
male,ENSG00000157557
male,ENSG00000099364
male,ENSG00000135905
male,ENSG00000136861
male,ENSG00000173327
male,ENSG00000103024
male,ENSG00000114646
male,ENSG00000154330
male,ENSG00000102547
male,ENSG00000090097
male,ENSG00000145526
male,ENSG00000141013
male,ENSG00000164329
male,ENSG00000221882
male,ENSG00000081189
male,ENSG00000157330
male,ENSG00000143156
male,ENSG00000120500
male,ENSG00000009413
male,ENSG00000057294
male,ENSG00000108018
male,ENSG00000186204
male,ENSG00000130511
male,ENSG00000133115
male,ENSG00000196312
male,ENSG00000115649
male,ENSG00000137075
male,ENSG00000140481
male,ENSG00000130940
male,ENSG00000137274
male,ENSG00000106066
male,ENSG00000171295
male,ENSG00000167173
male,ENSG00000105829
male,ENSG00000205356
male,ENSG00000184009
male,ENSG00000140873
male,ENSG00000173567
male,ENSG00000112414
male,ENSG00000162618
male,ENSG00000106624
male,ENSG00000180777
male,ENSG00000057663
male,ENSG00000139044
male,ENSG00000235505
male,ENSG00000141570
male,ENSG00000134057
male,ENSG00000107443
male,ENSG00000116815
male,ENSG00000166091
male,ENSG00000102879
male,ENSG00000116133
male,ENSG00000134516
male,ENSG00000100129
male,ENSG00000240445
male,ENSG00000105255
male,ENSG00000226124
male,ENSG00000167674
male,ENSG00000102241
male,ENSG00000148943
male,ENSG00000146006
male,ENSG00000168067
male,ENSG00000090971
male,ENSG00000178685
male,ENSG00000174827
male,ENSG00000183571
male,ENSG00000166428
male,ENSG00000163932
male,ENSG00000204628
male,ENSG00000117602
male,ENSG00000137275
male,ENSG00000164610
male,ENSG00000149273
male,ENSG00000063015
male,ENSG00000167447
male,ENSG00000250317
male,ENSG00000077312
male,ENSG00000162236
male,ENSG00000132604
male,ENSG00000145107
male,ENSG00000118271
male,ENSG00000140367
male,ENSG00000167671
male,ENSG00000111186
male,ENSG00000198538
male,ENSG00000167772
male,ENSG00000185689
male,ENSG00000147437
male,ENSG00000116962
male,ENSG00000163710
male,ENSG00000056487
male,ENSG00000174136
male,ENSG00000167550
male,ENSG00000116649
male,ENSG00000248477
male,ENSG00000250687
male,ENSG00000008300
male,ENSG00000185885
male,ENSG00000073150
male,ENSG00000225973
male,ENSG00000061492
male,ENSG00000100601
male,ENSG00000215217
male,ENSG00000103326
male,ENSG00000105479
male,ENSG00000248698
male,ENSG00000125841
male,ENSG00000100300
male,ENSG00000160685
male,ENSG00000184887
male,ENSG00000177627
male,ENSG00000221986
male,ENSG00000227152
male,ENSG00000165480
male,ENSG00000095970
male,ENSG00000170703
female,ENSG00000179813
female,ENSG00000213085
female,ENSG00000077327
female,ENSG00000197057
female,ENSG00000170160
female,ENSG00000268500
female,ENSG00000105607
female,ENSG00000162643
female,ENSG00000133639
female,ENSG00000155287
female,ENSG00000188933
female,ENSG00000241343
female,ENSG00000135486
female,ENSG00000072501
female,ENSG00000122566
female,ENSG00000089335
female,ENSG00000112357
female,ENSG00000198938
female,ENSG00000204576
female,ENSG00000096746
female,ENSG00000184208
female,ENSG00000115053
female,ENSG00000162755
female,ENSG00000147145
female,ENSG00000198824
female,ENSG00000105323
female,ENSG00000189089
female,ENSG00000111481
female,ENSG00000170043
female,ENSG00000117410
female,ENSG00000213235
female,ENSG00000165215
female,ENSG00000130749
female,ENSG00000127922
female,ENSG00000254870
female,ENSG00000100941
female,ENSG00000105372
female,ENSG00000248527
female,ENSG00000188243
female,ENSG00000225067
female,ENSG00000213018
female,ENSG00000236523
female,ENSG00000114455
female,ENSG00000248592
female,ENSG00000139291
female,ENSG00000125386
female,ENSG00000227694
female,ENSG00000181038
female,ENSG00000172469
female,ENSG00000204104
female,ENSG00000198918
female,ENSG00000111843
female,ENSG00000160818
female,ENSG00000126005
female,ENSG00000108349
female,ENSG00000132478
female,ENSG00000101844
female,ENSG00000127540
female,ENSG00000124614
female,ENSG00000130816
female,ENSG00000179085
female,ENSG00000101972
female,ENSG00000168066
female,ENSG00000161328
female,ENSG00000183978
female,ENSG00000249768
female,ENSG00000177464
female,ENSG00000122515
female,ENSG00000233927
female,ENSG00000113845
female,ENSG00000177144
female,ENSG00000205937
female,ENSG00000143442
female,ENSG00000168060
female,ENSG00000120992
female,ENSG00000204923
female,ENSG00000170632
female,ENSG00000101040
female,ENSG00000143742
female,ENSG00000166444
female,ENSG00000166435
female,ENSG00000131467
female,ENSG00000135070
female,ENSG00000136238
female,ENSG00000080802
female,ENSG00000166971
female,ENSG00000204370
female,ENSG00000090905
female,ENSG00000213420
female,ENSG00000136573
female,ENSG00000233163
female,ENSG00000224578
female,ENSG00000128059
female,ENSG00000180264
female,ENSG00000183161
female,ENSG00000055070
female,ENSG00000106344
female,ENSG00000178449
female,ENSG00000150625
female,ENSG00000203618
female,ENSG00000181873
female,ENSG00000112031
female,ENSG00000164967
female,ENSG00000242221
female,ENSG00000144820
female,ENSG00000147138
female,ENSG00000198744
female,ENSG00000120159
female,ENSG00000279800
female,ENSG00000148337
female,ENSG00000177576
female,ENSG00000203950
female,ENSG00000162231
female,ENSG00000253251
female,ENSG00000197472
female,ENSG00000135363
female,ENSG00000160392
female,ENSG00000143569
female,ENSG00000198019
female,ENSG00000164393
female,ENSG00000100804
female,ENSG00000143570
female,ENSG00000102390
female,ENSG00000204060
female,ENSG00000117448
female,ENSG00000276291
female,ENSG00000157657
female,ENSG00000142408
female,ENSG00000141456
female,ENSG00000173041
female,ENSG00000140995
female,ENSG00000149932
female,ENSG00000116906
female,ENSG00000102524
female,ENSG00000226632
female,ENSG00000197982
female,ENSG00000136938
female,ENSG00000105698
female,ENSG00000173559
female,ENSG00000170315
female,ENSG00000132388
female,ENSG00000142751
female,ENSG00000180953
female,ENSG00000141480
female,ENSG00000143450
female,ENSG00000247627
female,ENSG00000163382
female,ENSG00000240435
female,ENSG00000188186
female,ENSG00000151665
female,ENSG00000213920
female,ENSG00000063177
female,ENSG00000229014
female,ENSG00000173451
female,ENSG00000175467
female,ENSG00000205544
female,ENSG00000070366
female,ENSG00000185864
female,ENSG00000275023
female,ENSG00000164096
female,ENSG00000123552
female,ENSG00000133624
female,ENSG00000127616
female,ENSG00000104154
female,ENSG00000142039
female,ENSG00000152684
female,ENSG00000149084
female,ENSG00000253488
female,ENSG00000156304
female,ENSG00000153443
female,ENSG00000180228
female,ENSG00000124469
female,ENSG00000081692
female,ENSG00000153561
female,ENSG00000184575
female,ENSG00000186665
female,ENSG00000235619
female,ENSG00000176871
female,ENSG00000146776
female,ENSG00000278505
female,ENSG00000168806
female,ENSG00000241890
female,ENSG00000204866
female,ENSG00000166575
female,ENSG00000241859
female,ENSG00000235655
female,ENSG00000066027
female,ENSG00000103266
female,ENSG00000236474
female,ENSG00000254512
female,ENSG00000174501
female,ENSG00000183638
female,ENSG00000059588
female,ENSG00000259339
female,ENSG00000072121
female,ENSG00000166147
female,ENSG00000269343
female,ENSG00000259318
female,ENSG00000198064
female,ENSG00000035403
female,ENSG00000235674
female,ENSG00000177984
female,ENSG00000215165
female,ENSG00000088320
female,ENSG00000212643
female,ENSG00000165091
female,ENSG00000120798
female,ENSG00000132849
female,ENSG00000234227
female,ENSG00000116560
female,ENSG00000188624
female,ENSG00000114374
female,ENSG00000237406
female,ENSG00000196204
female,ENSG00000218186
female,ENSG00000214189
female,ENSG00000257966
female,ENSG00000125633
female,ENSG00000214244
female,ENSG00000128383
female,ENSG00000126759
female,ENSG00000100024
female,ENSG00000138796
female,ENSG00000171819
female,ENSG00000160117
female,ENSG00000180708
female,ENSG00000149380
female,ENSG00000107614
female,ENSG00000206159
female,ENSG00000139547
female,ENSG00000185031
female,ENSG00000105404
female,ENSG00000196597
female,ENSG00000154102
female,ENSG00000273762
female,ENSG00000251400
female,ENSG00000259378
female,ENSG00000241697
female,ENSG00000081791
female,ENSG00000227331
female,ENSG00000149716
female,ENSG00000168405
female,ENSG00000274276
female,ENSG00000214988
female,ENSG00000089280
female,ENSG00000137343
female,ENSG00000143748
female,ENSG00000257195
female,ENSG00000106459
female,ENSG00000235370
female,ENSG00000167080
female,ENSG00000237223
female,ENSG00000232230
female,ENSG00000113263
female,ENSG00000176422
female,ENSG00000131797
female,ENSG00000183604
female,ENSG00000260818
female,ENSG00000180116
female,ENSG00000138472
female,ENSG00000109771
female,ENSG00000163534
female,ENSG00000227500
female,ENSG00000106004
female,ENSG00000109881
female,ENSG00000132915
female,ENSG00000154743
female,ENSG00000155833
female,ENSG00000147789
female,ENSG00000078403
female,ENSG00000168096
female,ENSG00000215887
female,ENSG00000258233
female,ENSG00000229994
female,ENSG00000234562
female,ENSG00000277399
female,ENSG00000204590
female,ENSG00000176040
female,ENSG00000102265
female,ENSG00000168014
female,ENSG00000172543
female,ENSG00000228753
female,ENSG00000204592
female,ENSG00000158169
female,ENSG00000167757
female,ENSG00000160856
female,ENSG00000198715
female,ENSG00000225198
female,ENSG00000132394
female,ENSG00000198393
female,ENSG00000233966
female,ENSG00000140986
female,ENSG00000093217
female,ENSG00000261528
female,ENSG00000223733
female,ENSG00000242338
female,ENSG00000228810
female,ENSG00000258890
female,ENSG00000260266
female,ENSG00000249206
female,ENSG00000225650
female,ENSG00000106133
female,ENSG00000142513
female,ENSG00000134698
female,ENSG00000183439
female,ENSG00000258024
female,ENSG00000143344
female,ENSG00000240972
female,ENSG00000166888
female,ENSG00000109084
female,ENSG00000258571
female,ENSG00000230593
female,ENSG00000178935
female,ENSG00000178802
female,ENSG00000229419
female,ENSG00000197614
female,ENSG00000254449
female,ENSG00000218226
female,ENSG00000139624
female,ENSG00000127774
female,ENSG00000197849
female,ENSG00000105664
female,ENSG00000188676
female,ENSG00000176268
female,ENSG00000249226
female,ENSG00000178917
female,ENSG00000248871
female,ENSG00000124091
female,ENSG00000213484
female,ENSG00000283101
female,ENSG00000228328
female,ENSG00000134627
female,ENSG00000220867
female,ENSG00000141696
female,ENSG00000182347
female,ENSG00000088356
female,ENSG00000142910
female,ENSG00000237887
female,ENSG00000219222
female,ENSG00000105186
female,ENSG00000131746
female,ENSG00000236152
