x,y
455.273103727162,-368.892142934348
426.791658897507,-368.616473553289
363.731082114518,-342.787645337025
419.867482935603,-389.262969170422
481.053850293815,-394.909545652206
434.320378388567,-264.096229819477
478.002999230834,-237.134685973414
359.68904190151,-309.624126504328
62.1649976380318,-472.849304416747
98.4261159378247,-456.852191756959
136.21984279983,-474.227164587402
103.161244563718,-481.584528968504
163.085576421858,-438.187392093896
99.6020883319393,-427.667781681755
124.982714929516,-423.489599407211
115.340089389055,-441.682059500723
87.9966069397504,-409.800328596135
125.836016173011,-384.588008262489
99.5195343339567,-541.481280147315
152.583365949434,-454.324535756526
79.9757057973461,-476.691638759321
39.1419764647195,-504.571341246833
228.01499650842,-302.158836076303
112.253466329959,-314.016297254401
258.816033080947,-339.170641070806
332.544423134587,-321.182202139463
396.266505569454,-119.724078490362
363.243264791565,-160.454769596167
220.2620206137,-317.859159119
198.465218214709,-381.114283951397
404.347330365196,-308.723831284965
426.134405705751,-346.158537060289
398.044760533157,-291.246276238395
353.283930881842,-398.777725360274
390.641310573652,-336.289548278736
365.141773082344,-289.975523627776
184.849414513661,-627.377748161885
182.18726734006,-565.781183684172
226.424853872054,-607.831268579447
104.271281138725,-205.865452014544
65.0872001913592,-154.176138058766
105.919679198305,-278.942126334195
150.315195974359,-282.104008762396
110.291301023513,-255.108668681527
140.472757486802,-181.001359904141
88.2067976611811,-196.461886890722
116.216697788073,-235.444560548674
163.840265989424,-564.008587164087
227.488795375831,-431.638778804062
130.087996784768,-620.31249621128
158.922239595078,-624.595547127684
282.993766559138,-178.438515275785
305.355449685101,-146.315466623196
285.811804728069,-254.548837777152
302.962339259881,-234.677043462561
231.312568475177,-165.146875614567
271.054151053392,-230.626940944788
266.120977867653,-193.124198169665
437.355157020992,-388.714431542888
491.506715833212,-410.873859998158
318.684646909458,-368.234401102365
511.307773827899,-402.438777195413
358.242713200047,-364.665615644363
322.494355886696,-220.723354719453
335.063555605444,-267.503121483509
251.116097041628,-250.728722194757
314.214608604592,-608.131963344809
276.544211816976,-507.533593711346
340.103530997593,-679.73374977378
417.581651140262,-290.315371182386
254.541171925729,-200.989837502243
194.98701930009,-217.93898425691
213.088502290024,-264.60169691598
351.998348670495,-207.705114887728
536.707863154138,-322.183811325424
595.810440194241,-319.68672000214
452.77106928276,-331.098604511781
14.9590911379013,-626.735192427283
44.7294379670214,-589.466561515405
417.163326960645,-485.222216939957
