node_id	alias	shape	size	color	x	y	weight
79	FIS1	ELLIPSE	20.0	#ffcccc	-1492.47	559.55	0.0
80	MAF1	ELLIPSE	20.0	#ffcccc	-1219.87	511.76	0.0
81	SEC61B	ELLIPSE	20.0	#ffcccc	-261.69	142.38	0.0
82	RPS10-NUDT3	ELLIPSE	20.0	#ffcccc	-424.02	215.48	0.0
83	RPS7	ELLIPSE	20.0	#ffcccc	-377.69	118.45	0.0
84	RACK1	ELLIPSE	20.0	#ffcccc	-353.77	196.08	0.0
85	RPL7	ELLIPSE	20.0	#ffcccc	-375.1	89.32	0.0
86	RPS10	ELLIPSE	20.0	#ffcccc	-459.13	61.65	0.0
87	RPS27A	ELLIPSE	20.0	#ffcccc	-321.64	305.85	0.0
88	CANX	ELLIPSE	20.0	#ffcccc	-247.66	349.25	0.0
89	RPS19	ELLIPSE	20.0	#ffcccc	-333.85	131.23	0.0
90	RPL18	ELLIPSE	20.0	#ffcccc	-377.83	198.52	0.0
91	RPL24	ELLIPSE	20.0	#ffcccc	-486.16	160.42	0.0
92	RPS27	ELLIPSE	20.0	#ffcccc	-441.76	146.67	0.0
93	RPL38	ELLIPSE	20.0	#ffcccc	-455.56	183.86	0.0
94	RPL22	ELLIPSE	20.0	#ffcccc	-389.12	215.99	0.0
95	RPL7A	ELLIPSE	20.0	#ffcccc	-431.34	47.63	0.0
96	RPL36A	ELLIPSE	20.0	#ffcccc	-493.84	179.17	0.0
97	RPL26	ELLIPSE	20.0	#ffcccc	-503.66	125.42	0.0
98	RPL39	ELLIPSE	20.0	#ffcccc	-551.56	128.01	0.0
99	RPL27	ELLIPSE	20.0	#ffcccc	-527.45	106.57	0.0
100	UBE2J2	ELLIPSE	20.0	#ffcccc	-30.13	267.8	0.0
101	SFXN3	ELLIPSE	20.0	#ffcccc	-1218.11	-58.67	0.0
102	UQCRQ	ELLIPSE	20.0	#ffcccc	-853.91	78.17	0.0
103	NUFIP2	ELLIPSE	20.0	#ffcccc	-594.53	164.76	0.0
104	C1QBP	ELLIPSE	20.0	#ffcccc	-631.76	-160.99	0.0
105	HSPA8	ELLIPSE	20.0	#ffcccc	-302.84	172.4	0.0
106	UBAP2L	ELLIPSE	20.0	#ffcccc	-804.28	153.92	0.0
107	GRSF1	ELLIPSE	20.0	#ffcccc	-941.54	-297.07	0.0
108	MAGED2	ELLIPSE	20.0	#ffcccc	-303.2	-616.17	0.0
109	NOP56	ELLIPSE	20.0	#ffcccc	-333.69	22.22	0.0
110	SSBP1	ELLIPSE	20.0	#ffcccc	-642.76	-85.54	0.0
111	NME2	ELLIPSE	20.0	#ffcccc	-448.9	-18.74	0.0
112	GP1BB	ELLIPSE	20.0	#ffcccc	-802.67	-532.91	0.0
113	TOMM40	ELLIPSE	20.0	#ffcccc	-771.97	-165.62	0.0
114	DDX39B	ELLIPSE	20.0	#ffcccc	-455.53	-100.09	0.0
115	CHCHD2	ELLIPSE	20.0	#ffcccc	-1008.83	-84.1	0.0
116	SNU13	ELLIPSE	20.0	#ffcccc	-423.64	4.53	0.0
117	PHB1	ELLIPSE	20.0	#ffcccc	-689.94	35.61	0.0
118	TMEM97	ELLIPSE	20.0	#ffcccc	-100.93	-626.81	0.0
119	GUK1	ELLIPSE	20.0	#ffcccc	-163.69	-492.3	0.0
120	JADE1	ELLIPSE	20.0	#ffcccc	-1084.1	-112.03	0.0
121	YJU2	ELLIPSE	20.0	#ffcccc	-837.04	-402.14	0.0
122	ING4	ELLIPSE	20.0	#ffcccc	-995.51	325.08	0.0
123	ZPR1	ELLIPSE	20.0	#ffcccc	-9.26	134.15	0.0
124	WDR3	ELLIPSE	20.0	#ffcccc	-240.35	16.59	0.0
125	UBE4B	ELLIPSE	20.0	#ffcccc	177.83	268.94	0.0
126	UFC1	ELLIPSE	20.0	#ffcccc	44.67	299.09	0.0
127	IL10RA	ELLIPSE	20.0	#ffcccc	754.55	764.59	0.0
128	ITGAL	ELLIPSE	20.0	#ffcccc	517.5	834.15	0.0
129	GLI1	ELLIPSE	20.0	#ffcccc	-326.13	682.9	0.0
130	SEM1	ELLIPSE	20.0	#ffcccc	-234.68	598.31	0.0
131	PSMB5	ELLIPSE	20.0	#ffcccc	-308.58	549.26	0.0
132	PSMB10	ELLIPSE	20.0	#ffcccc	-263.6	535.75	0.0
133	UBB	ELLIPSE	20.0	#ffcccc	-308.94	360.94	0.0
134	PTCH2	ELLIPSE	20.0	#ffcccc	-403.19	1066.49	0.0
135	SUFU	ELLIPSE	20.0	#ffcccc	-351.24	574.7	0.0
136	ITFG2	ELLIPSE	20.0	#ffcccc	-1357.53	713.25	0.0
137	BTN2A1	ELLIPSE	20.0	#ffcccc	-1554.82	819.72	0.0
138	WDR24	ELLIPSE	20.0	#ffcccc	-1270.09	735.0	0.0
139	ATP6V0B	ELLIPSE	20.0	#ffcccc	-1166.07	613.91	0.0
140	ATP6V1H	ELLIPSE	20.0	#ffcccc	-1078.9	610.79	0.0
141	BMT2	ELLIPSE	20.0	#ffcccc	-1287.82	696.35	0.0
142	RHEB	ELLIPSE	20.0	#ffcccc	-1313.32	633.36	0.0
143	LAMTOR4	ELLIPSE	20.0	#ffcccc	-1245.99	594.86	0.0
144	NDUFB10	ELLIPSE	20.0	#ffcccc	-979.88	61.27	0.0
145	GPLD1	ELLIPSE	20.0	#ffcccc	1667.31	110.5	0.0
146	PIGW	ELLIPSE	20.0	#ffcccc	1771.44	106.85	0.0
147	EIF1B	ELLIPSE	20.0	#ffcccc	-461.54	204.48	0.0
148	EIF3L	ELLIPSE	20.0	#ffcccc	-326.62	38.81	0.0
149	EIF1	ELLIPSE	20.0	#ffcccc	-425.81	171.06	0.0
150	RPS3	ELLIPSE	20.0	#ffcccc	-402.31	77.49	0.0
151	EIF3CL	ELLIPSE	20.0	#ffcccc	-321.2	75.75	0.0
152	EIF3C	ELLIPSE	20.0	#ffcccc	-321.93	109.18	0.0
153	EIF3A	ELLIPSE	20.0	#ffcccc	-326.9	166.65	0.0
154	EIF3G	ELLIPSE	20.0	#ffcccc	-394.5	77.46	0.0
155	TTC31	ELLIPSE	20.0	#ffcccc	-334.42	-398.69	0.0
156	TCEANC2	ELLIPSE	20.0	#ffcccc	-883.1	513.21	0.0
157	SUPT5H	ELLIPSE	20.0	#ffcccc	-696.58	607.17	0.0
158	TBPL1	ELLIPSE	20.0	#ffcccc	-913.67	370.93	0.0
159	KPNA3	ELLIPSE	20.0	#ffcccc	-1071.76	378.91	0.0
160	TADA2B	ELLIPSE	20.0	#ffcccc	-620.98	300.36	0.0
161	YEATS2	ELLIPSE	20.0	#ffcccc	-690.31	346.4	0.0
162	FGF23	ELLIPSE	20.0	#ffcccc	-178.94	646.11	0.0
163	MET	ELLIPSE	20.0	#ffcccc	-24.55	788.5	0.0
164	KDR	ELLIPSE	20.0	#ffcccc	-223.35	819.77	0.0
165	FGFR1	ELLIPSE	20.0	#ffcccc	-180.7	738.99	0.0
166	SLC35B1	ELLIPSE	20.0	#ffcccc	630.9	243.92	0.0
167	TFG	ELLIPSE	20.0	#ffcccc	601.53	-147.67	0.0
168	GRIA1	ELLIPSE	20.0	#ffcccc	514.81	-58.83	0.0
169	ACVR2A	ELLIPSE	20.0	#ffcccc	104.26	1479.42	0.0
170	MAGI2	ELLIPSE	20.0	#ffcccc	93.52	1238.44	0.0
171	TWIST1	ELLIPSE	20.0	#ffcccc	-95.22	788.59	0.0
172	FOXO3	ELLIPSE	20.0	#ffcccc	-158.06	865.26	0.0
173	PLA2G12A	ELLIPSE	20.0	#ffcccc	971.22	792.9	0.0
174	PEDS1-UBE2V1	ELLIPSE	20.0	#ffcccc	743.95	698.69	0.0
175	PLD4	ELLIPSE	20.0	#ffcccc	880.22	785.73	0.0
176	PLD3	ELLIPSE	20.0	#ffcccc	938.07	853.85	0.0
177	LPCAT1	ELLIPSE	20.0	#ffcccc	1047.64	848.59	0.0
178	SNRPA	ELLIPSE	20.0	#ffcccc	-574.27	-244.76	0.0
179	MFAP1	ELLIPSE	20.0	#ffcccc	-577.14	-196.35	0.0
180	HNRNPA3	ELLIPSE	20.0	#ffcccc	-534.15	-100.72	0.0
181	MBNL2	ELLIPSE	20.0	#ffcccc	-684.44	-622.04	0.0
182	FMC1-LUC7L2	ELLIPSE	20.0	#ffcccc	-684.51	-486.33	0.0
183	CTNNBL1	ELLIPSE	20.0	#ffcccc	-445.23	-179.6	0.0
